关键词,描述,来源,排名,时间
中国一点都不能少,在黄岩岛海域，中国海警局持续巡航执法，维护领土主权和海洋权益，面对菲律宾船只的挑衅，中国采取了理性和克制的态度，坚决捍卫国家利益，得到广泛支持。,微博,11,24/11/10-19:37:09
珠帘玉幕置顶赵露思刘宇宁营业视频,赵露思和刘宇宁在优酷宣传新剧《珠帘玉幕》，刘宇宁凭借燕子京的角色吸引了不少粉丝关注，引发了大量点赞和评论，大家都夸他帅。当事人未有特别回应，但粉丝们表示非常喜爱，并希望更多人能看到这部作品。,微博,12,24/11/10-19:37:09
四大扛剧小生,在微博上，有人提议四大扛剧小生提名成毅、白敬亭等人因新剧播出而引发热议，网友们对此褒贬不一，既有支持也有调侃，最终形成了一个热门话题。,微博,13,24/11/10-19:37:09
花粉地狱,赵露思在湖南长沙因剧宣问题引发粉丝不满被批为“花粉地狱”，导致其事业发展受质疑，引起大量讨论和争议，部分网友呼吁减少对女明星的恶意。,微博,14,24/11/10-19:37:09
林青霞姜涛牵手出席活动,林青霞和姜涛在慈善活动中牵手出席并合作演唱张国荣金曲，获得现场好评和网络热议，林青霞称赞姜涛礼貌谦卑，网友对此表示关注和讨论。,微博,15,24/11/10-19:37:09
KSG败决先下一城,苏州今屿在王者荣耀职业联赛中败决先下一城，拿下狼队第一局比赛，网友们对此反应热烈，表示支持和期待双方继续较量。,微博,16,24/11/10-19:37:09
天猫双11最后5折冲刺,在长沙，许多人因天猫双11最后5折冲刺而疯狂购物，抢购大牌商品和限时优惠，纷纷在微博上分享自己的省下来的钱，并呼吁更多人加入这场狂欢，最终实现了满载而归。,微博,17,24/11/10-19:37:09
王栎鑫吴雅婷合体澄清,王栎鑫和吴雅婷在社交媒体上合体澄清谣言，表示两人状态很好，希望各自安好。他们呼吁停止恶意攻击，并得到不少支持者响应，但仍有部分网友持批评态度。,微博,18,24/11/10-19:37:09
黄晓明,叶珂因离婚净身出户并赔偿前夫保密协议，称与黄晓明交往非为金钱，此事引发大量讨论，叶珂随后宣布退网，并澄清相关谣言，称网传天价抚养费等均为造谣。网友对此事反应不一，有人支持叶珂也有不少人在关注黄晓明的回应。,微博,19,24/11/10-19:37:09
劳斯莱斯女车主哽咽否认炒作,劳斯莱斯女车主在广东广州因车祸事件被质疑炒作，在视频中哽咽否认，并表示不会拿亲人生命开玩笑，愿意承担责任，但未提供更多细节，引发网友关注和讨论。,微博,20,24/11/10-19:37:09
最快下个月又能看郑钦文比赛了,郑钦文在年终总决赛女子单打决赛中夺得亚军。联合杯赛季将于1月开打，她将领衔中国队参赛。网友期待她在联合杯的表现。,微博,21,24/11/10-19:37:09
京东再次放价,在京东，为了抓住双11购物节的最后优惠，许多消费者在今晚抢购商品，京东开启百亿补贴多人团限时低价活动，成功吸引了大量消费者的参与；当事人未作出特别回应，网友表示满意并积极购买。,微博,22,24/11/10-19:37:09
虞书欣 亲太紧就看不到嘴巴瓣了,虞书欣在拍摄吻戏时亲得太紧导致嘴巴看不见，她在微博上发文解释并寻求大家的理解，网友们对此事进行了大量讨论和转发。,微博,23,24/11/10-19:37:09
广州有可能打破最长夏季纪录,广州由于持续高温可能打破最长夏季纪录，气象部门预测今年夏季日数或将超过往年，达到天。当地居民对此看法不一，有人调侃天气变热，有人抱怨频繁使用空调。,微博,24,24/11/10-19:37:09
2岁失联女童被警犬在山顶上找到,湖南嘉禾县一名2岁女童失踪后被警犬在山顶找到，未受伤，警方正在调查具体情况，家属及网友关注事件真相。,微博,25,24/11/10-19:37:09
时代少年团给娜扎写热搜,在湖南长沙，时代少年团在微博给娜扎写热搜词，结果把娜扎自己也搞懵了，最后娜扎在游戏中表现突出赢得三个热搜词，网友纷纷表示超有趣和疯狂。,微博,26,24/11/10-19:37:09
麦琳情商,麦琳因参加节目《再见爱人》而在网络上引发争议，许多网友批评她的言行举止，李行亮未公开回应此事，网友们表示气愤和不满。,微博,27,24/11/10-19:37:09
杨幂未来感黑裙,杨幂在长沙因穿着未来感黑裙受到关注，获得粉丝和品牌方好评，认为她时尚度高且认真对待代言产品，提升了自身形象和影响力。,微博,28,24/11/10-19:37:09
双轨,虞书欣在南京准备开机拍摄双轨剧，引发粉丝和网友热议，支持者期待剧情发展，反对者批评原著改编，剧组和演员的压力也随之增加。,微博,29,24/11/10-19:37:09
offer律政四季大团建,在律政四季团建活动中，刘律和王艺妍妤在北京和上海组织聚会，邀请了多名演员参与。这一系列线下活动让剧组成员间的感情更加深厚，引起了网友的高度关注和热烈反响。,微博,30,24/11/10-19:37:09
两人撞车没受伤但吵架气死1人,在江苏，王某与张某发生交通事故未受伤，但因争吵引发心脏病猝死，法院判决张某需承担赔偿责任。该事件引起广泛讨论，多数人认为情绪管理很重要。,微博,31,24/11/10-19:37:09
沈月 相亲届燃冬,沈月和顾逸在长沙因节目录制相亲引发热议，网友们纷纷表示惊讶并乐于讨论，该事件迅速在网络走红。,微博,32,24/11/10-19:37:09
黑龙江蔓越莓广西砂糖橘的故事上新,因东北地区游客可免费游览广西崇左家旅游景区并享受多种优惠活动，此事引发广泛关注。黑龙江网友在微博上晒出砂糖橘和蔓越莓等特产寄给广西的朋友，并发起投票讨论是否吃过黑龙江蔓越莓。网友们积极响应互动，纷纷表示期待收到更多特产。,微博,33,24/11/10-19:37:09
分享欲才是两个人感情最好的证明,在微博上，有人分享了关于分享欲对感情的重要性，并表示分享欲是证明两人关系好的关键，引发了众多用户的共鸣和讨论。,微博,34,24/11/10-19:37:09
小侯爷人真好,有人在微博上因为追剧《永夜星河》而感动落泪，小侯爷的角色让人又笑又哭。网友纷纷表示小侯爷很温暖，但他的悲凉故事也让他们心酸，结果是大家都被剧情深深吸引，感受到了角色之间真挚的情感。,微博,35,24/11/10-19:37:09
沈梦辰说和娜扎是情敌,沈梦辰在微博上表示自己和娜扎是情敌，原因是杨迪与娜扎录节目被网友嗑到了，她把相关片段发给杨迪，警告他注意。对此，网友们纷纷表示不太能理解这种关系，并调侃他们之间的“神奇缘分”。,微博,36,24/11/10-19:37:09
男性消费力增速不如狗,在今年双11期间，在男性消费力被宠物狗反超的话题讨论中，天猫数据显示宠物相关产品销售额增长，男性在数码和运动装备上的花费不如预期，引发新一轮热议，最终结果显示养狗一族消费更活跃。网友对此褒贬不一，有人认为数据统计有偏颇。,微博,37,24/11/10-19:37:09
丁禹兮摸自己摸到害羞,丁禹兮在湖南长沙摸自己因害羞引起关注，引发网友热议，最终无相关搜索结果出现。,微博,38,24/11/10-19:37:09
我姥一分钱不花做了八菜一汤,某人（姥）在湖南长沙一分钱不花做了八菜一汤，展现了烹饪技巧，引发网友热议和羡慕。,微博,39,24/11/10-19:37:09
白百何 观众缘,在长沙，白百何因演技出色多次被称赞观众缘好，在新剧《好团圆》中表现出色，获得高收视率和好评，粉丝和支持者众多。,微博,40,24/11/10-19:37:09
厦门高崎机场确定搬迁,厦门高崎机场因翔安新机场建设而确定搬迁，官方回应称需一定时间，将改造为国际贸易中心和科创中心，网友对此多表示关注与不舍。,微博,41,24/11/10-19:37:09
黄岩岛领海基线,在中国政府公布黄岩岛领海基线后，菲律宾频繁在该海域滋事挑衅。中国政府通过声明和官方渠道予以回应，强调黄岩岛主权归属中国，维护了领土权益。网友对此表示支持，认为此举正当合理。,微博,42,24/11/10-19:37:09
虞书欣亮相曼谷,虞书欣在曼谷亮相拍摄广告时被多家媒体捕捉到，包括爱慕、优酸乳和壹颗椰子等品牌。她的美貌引发热议，网友们纷纷称赞她美出了新高度，并在社交媒体上分享了相关照片和视频，虞书欣本人也对粉丝的爱意表示感谢。,微博,43,24/11/10-19:37:09
用真肉做的全透明汉堡,今天朱较瘦在微博上分享了一款用真肉做的全透明汉堡，引发网友热议和猜测其制作过程的真实性与意义，多数人认为这可能是一种噱头或营销手段，并非真正实用的产品。,微博,44,24/11/10-19:37:09
仙逆王林化神新皮肤上线,某微博账号在平台上发布了关于《仙逆》王林化神新皮肤上线的信息，并配以相关视频和解析，获得了多个官方认证账号和粉丝的转发评论赞。当事方暂未回应，网友们纷纷表示赞赏并期待后续剧情发展。,微博,45,24/11/10-19:37:09
鞠婧祎红昭愿,鞠婧祎因红昭愿名场面"一眼万年"在长沙走红，粉丝热烈回顾，视频播放量飙升，引发新一轮热议和讨论。,微博,46,24/11/10-19:37:09
珠帘玉幕上强度了,赵露思在端午节期间拍摄《珠帘玉幕》剧集强度增加的消息引发关注，剧组也在微博上宣布开拍，不少粉丝和演员互动频繁，气氛热烈。,微博,47,24/11/10-19:37:09
疑儿子盒马鲜生摔倒没人扶妈妈砸店,在上海一家盒马鲜生超市，一位家长因认为儿子摔倒后无人扶而砸店，要求赔偿打砸费用。店方表示会负责店内发生的事情，并称保安未及时响应。此事引发网友争议，有人指责家长无理取闹，也有人同情孩子安全问题。,微博,48,24/11/10-19:37:09
22岁女孩感冒后厌食暴瘦到40斤,天津发布称一名10岁女孩在感冒后厌食暴瘦到仅剩68斤，在医生使用菌群移植技术治疗后恢复。当事人未作公开回应，网友对此表示担忧并提醒注意身体状况。,微博,49,24/11/10-19:37:09
猴王争霸赛,在湖南长沙，有人发起猴王争霸赛活动，引发了网友广泛讨论和解析，参与者包括多位知名微博用户，如花渣聚集地、堇色安年等，但也有部分网友对此词条表示不满，认为不够礼貌。最终，该事件在网络上有较多关注和转发。,微博,50,24/11/10-19:37:09
凌妙妙慕子期和好,凌妙妙和慕子期在永夜星河剧中和好，引发网友强烈反响，纷纷点赞留言表示欣慰。当事人未做特别回应，但网友直呼“终于甜到了”，期待两人早日甜蜜互动。,微博,51,24/11/10-19:37:09
赵露思工作室,赵露思工作室因发布的海报与杨紫的《长相思》单人海报相似而被质疑抄袭，在网上引发争议；赵露思粉丝要求其工作室作出解释但未得到回应，引起更多网友不满和批评。,微博,52,24/11/10-19:37:09
循着总书记关切 领略大美西部,习近平总书记十分关心西部生态环境建设，在西部省份考察调研时，始终强调生态保护，将“绿水青山就是金山银山”的理念一以贯之。,百度,1,24/11/10-19:37:09
中国在南海划了一道线,11月10日，中国政府就黄岩岛领海基线发表声明，宣布中华人民共和国黄岩岛的领海基线。,百度,2,24/11/10-19:37:09
瘦到脱相的美国宇航员何时能回家,自6月5日以来，美国两位宇航员搭乘波音公司发射的飞船进入太空，原本8天的航天任务因故障被迫延长，瘦到脱相的美国宇航员何时能回家？,百度,3,24/11/10-19:37:09
双座歼-20S模型亮相中国航展,第十五届中国航展将于11月12日至17日举行，歼-20S正式揭开神秘面纱，先睹为快！,百度,4,24/11/10-19:37:09
未拴绳泰迪吓到小孩 男子抢狗暴摔,11月9日，湖北武汉洪山区一商场内，未拴绳泰迪商场内吓到小孩，一名男子冲上前去抢狗暴摔。狗主人不断求饶，大声高喊错了。,百度,5,24/11/10-19:37:09
天津又整活 水翼板大队“全军覆没”,近日，天津一水翼板大队在训练时“全军覆没”，有网友表示：来到了天津卫水里不让睡。,百度,6,24/11/10-19:37:09
男子喝下百草枯28天：肺部轻微纤维化,据报道，浙江宁波一男子因一时冲动喝下一大口家里留存的百草枯，经历28天的救治后创造奇迹，肺部仅有轻微纤维化。,百度,7,24/11/10-19:37:09
徐海乔评论区乱成一锅粥了,近日，《永夜星河》中徐海乔饰演的赵轻欢给小侯爷留下的镯子被戴到妙妙手上，妙妙不受控制爱上他，网友都来”讨伐“徐海乔。,百度,8,24/11/10-19:37:09
钟南山：锻炼和吃饭睡觉同等重要,11月10日，钟南山在广东实验中学出席活动并发表讲话。在谈到锻炼时，钟南山表示要把锻炼活动看成和吃饭睡觉一样重要。,百度,9,24/11/10-19:37:09
苏-57在珠海高空炫技 观众直呼牛,11月10日，俄罗斯隐形战机苏-57进行飞行演练，表演了多个高难度动作，引得观众直呼“牛”。,百度,10,24/11/10-19:37:09
国产“三蹦子”在意大利车展火了,当地时间11月8日，国产“三蹦子”在意大利车展火了，外国小伙纷纷驻足体验，网友称：骑上它，成整条街最靓的仔。,百度,11,24/11/10-19:37:09
湖南2岁走失女童被警犬在山上找到,11月10日，记者从女童家属处获悉，湖南嘉禾县失联的女童已被找到。家属称孩子没有受伤，怀疑是被人抱上山。警方现正进行调查。,百度,12,24/11/10-19:37:09
警方辟谣女子抢民警腰间配枪,近日，网传女子抢民警配枪一事引发热议，11月9日，四川绵阳警方通报：女子抢夺的是辅警腰间警棍，已行政处罚。,百度,13,24/11/10-19:37:09
女孩退租房东清7车垃圾,女孩在退租后未清理车内垃圾，房东清出大量垃圾并被熏吐，女孩对此表示自认倒霉。,百度,14,24/11/10-19:37:09
石破茂与特朗普通话仅5分钟就结束了,据悉，日本自民党政调会长小野寺五典10日透露，日本首相石破茂与美国候任总统特朗普的电话会谈仅约5分钟就结束。,百度,15,24/11/10-19:37:09
轮到关晓彤被年龄暴击了,近日，关晓彤在采访时因记者是98年出生而震惊。突如其来的“年龄暴击”令她直言：“我要采不下去了，我在逐渐接受这个过程。”,百度,16,24/11/10-19:37:09
中国此时公布黄岩岛领海基线有何意义,11月10日，中国政府就黄岩岛领海基线发表声明，宣布中华人民共和国黄岩岛的领海基线，如何理解这道线的意义？一起来了解！,百度,17,24/11/10-19:37:09
歌手吴克群在街头蹬三轮,11月9日，有网友发现歌手吴克群在浙江绍兴街头蹬三轮车，后座还坐着三轮车师傅，吴克群一边蹬三轮一边向师傅讨教刹车是哪个。,百度,18,24/11/10-19:37:09
网传有偿捐粪月入6000,近日，深圳某科技公司招募志愿者捐粪便，合格捐赠者每次可获300元补助，每月最多安排捐赠22次，最高月入6600元。,百度,19,24/11/10-19:37:09
上海老太一个月偷超市10次猪肉被拘,据媒体11月10日报道，上海一名老太一个月偷超市10次猪肉被拘，辩称监控视频非本人，还说世界上长得一样的人有很多。,百度,20,24/11/10-19:37:09
菲方频派舰机滋事挑衅 中国海警回应,中国海警局在南沙群岛附近海域执法时，菲律宾海警船故意冲撞中方舰艇并非法侵闯，造成轻微刮蹭，责任完全在菲方。中国海警回应称将坚决回击任何侵权挑衅行为。,百度,21,24/11/10-19:37:09
盒马回应疑孩子摔倒妈妈砸店,近日，湖南长沙，一男孩在盒马摔倒没人扶，妈妈砸店讨说法，引发广泛关注。对此，盒马鲜生回应：可以走法律途径。,百度,22,24/11/10-19:37:09
买到40条假中华获退赔10万,日前，江苏一男子为儿子婚礼在批发部买到40条假中华，引发关注。经法院审理，该批发部存在消极欺诈行为，最终判决退赔10万元。,百度,23,24/11/10-19:37:09
德国政坛大地震 欧洲股市全线大跌,德国政局动荡导致股市大跌，投资者担心市场信心动摇，德国政府暂未出台具体应对措施。,百度,24,24/11/10-19:37:09
22岁女孩感冒后厌食暴瘦到40斤,据报道，南京一名22岁女孩在一次感冒之后腹胀不舒服，吃不下饭，一度暴瘦到40斤，医生通过菌群移植让其重获新生。,百度,25,24/11/10-19:37:09
中方反对菲颁布所谓“海洋区域法”,据悉，菲律宾颁布所谓“海洋区域法”，严重侵犯中方在南海的领土主权和海洋权益。中方坚决反对，将继续依法坚定捍卫国家主权。,百度,26,24/11/10-19:37:09
各地网友送鲜花悼念张纯如,11月9日，是张纯如逝世20周年。为了纪念她在揭示南京大屠杀方面的卓越贡献，各地网友纷纷通过线上线下表达对她深深的哀思。,百度,27,24/11/10-19:37:09
多名外贸商被判非法买卖枪支罪获刑,许某甲全家在安徽因走私近万元槟榔被判刑7年，许某甲等人获刑。当事人未作回应。,百度,28,24/11/10-19:37:09
知情人士：卡塔尔退出加沙和谈,知情人士透露卡塔尔已退出加沙和谈并警告哈马斯其多哈办公室不再具备调解意义，以色列、美国及哈马斯均被告知此事。卡塔尔称若双方诚意参与将重新介入调停。,百度,29,24/11/10-19:37:09
员工为陷害同事泄露国家机密获刑,11月10日，国家安全部微信公众号披露了一些涉密人员泄密案件，某员工为陷害同事，用同事名义向境外泄露国家秘密，最终获刑。,百度,30,24/11/10-19:37:09
李行亮画的麦琳,李行亮在《再见爱人》中因麦琳的贤妻人设感到不安，最终节目通过激烈争吵揭示其婚姻问题，双方未公开具体回应。,百度,31,24/11/10-19:37:09
超逼真机器人画作拍出132万美元,近日，一幅由人形机器人绘制的英国数学家艾伦·图灵的肖像画以132万美元的价格成交，成为首个被拍卖的人形机器人创作的艺术品。,百度,32,24/11/10-19:37:09
特朗普向麦当劳递交辞职信,近日，特朗普的大儿子上传了一张父亲的辞职信，申请在2025年1月20日辞去麦当劳的工作，并形容工作时享受服务客人的机会。,百度,33,24/11/10-19:37:09
邓超孙俪一家四口颜值,孙俪和邓超夫妇连续多年默默资助西部助学项目，得到网友广泛点赞，他们表示将继续坚持这份善举。,百度,34,24/11/10-19:37:09
祖国一旦有需要反正那就干,“祖国一旦有需要反正那就干！”11月11日是人民空军成立75年，分享这段讲述致敬中国军人！,百度,35,24/11/10-19:37:09
700一吨买土豆土比土豆多,11月8日，河北承德一收购商买土豆，发视频给卖家吐槽“土比土豆多”，引发热议。收购商：没追究，下次往回找点。,百度,36,24/11/10-19:37:09
男子骑电车为躲20元罚款被撞身亡,王某在江苏因与张某发生交通事故后争吵气死，最终抢救无效死亡；事后双方未采取有效沟通解决纠纷。,百度,37,24/11/10-19:37:09
周杰伦接机昆凌,近日，昆凌分享了一组温馨照片，其中一张是周杰伦亲自开车到机场接机。周杰伦手握方向盘看起来十分专注，昆凌则对着镜头比心。,百度,38,24/11/10-19:37:09
在空中看航展是种什么体验？,11月9日，首次亮相中国航展的总台直升机进行开幕前首次试航。它将和总台前方演播室实现天地联动，为观众带来不一样的高空视角。,百度,39,24/11/10-19:37:09
疑儿子在盒马摔倒没人扶妈妈砸店,11月9日，湖南长沙一男孩在盒马鲜生摔倒昏迷。其家长认为孩子摔倒时没有工作人员扶起，就此事去盒马打砸店内商品，想要讨说法。,百度,40,24/11/10-19:37:09
上海一幼儿园开设理科班 学竞赛课程,邓乐言在上海市民办华育中学期间因数学天赋和努力，在阿里巴巴全球数学竞赛中获得铜奖。学校为其成就感到自豪。,百度,41,24/11/10-19:37:09
被晓华爆改成易烊千玺男生发声,近日，湖南省怀化理发师晓华将男大爆改成易烊千玺，引发关注。男生表示对发型非常满意，称30元物超所值，未来有机会还会再来。,百度,42,24/11/10-19:37:09
何炅说最害怕只有名字上热搜,近日，在《你好星期六》节目中，何炅说最害怕只有名字上热搜，引发关注。,百度,43,24/11/10-19:37:09
2.68米！山东“葱王”再创世界纪录,11月9日，在2024章丘大葱丰收季上，植户苗发勇种植的大葱以2.68米摘得2024年章丘“葱王”桂冠，超过往年最高纪录。,百度,44,24/11/10-19:37:09
韩国警方租房监视素媛案原型罪犯,近日，“素媛”案原型罪犯赵斗顺搬新居，为预防其再犯罪，韩国警方租下了赵斗顺新居对面的房子，并安排警方人员轮流在此值守。,百度,45,24/11/10-19:37:09
女友收50万彩礼后出轨前男友,日前，福州市一网友与妻子于2022年订婚，并给予50万彩礼，婚后却发现女方出轨其前男友。男方：决定离婚，并要求退回彩礼。,百度,46,24/11/10-19:37:09
《三体》微波武器竟然照进现实？,《三体》微波武器竟然照进现实？无人机致命杀手惊现中国兵器馆，全球首秀一定不能错过。,百度,47,24/11/10-19:37:09
意大利为什么能获得中国月壤,意大利在国际合作中成功获得中国月壤样本，促进了两国科研合作，意大利方面表示将加强相关研究。,百度,48,24/11/10-19:37:09
NASA坚称瘦成锥子脸宇航员很健康,截至11月6日，美国两名航天员已经在国际空间滞留了153天，威廉姆斯此前被指面容憔悴、身体消瘦，NASA坚称他们很健康。,百度,49,24/11/10-19:37:09
“全国优秀县委书记”方志高履新,方志高因廉政家访后主动投案获从轻处理，后任百色市委常委政法委书记。当事人曾主动投案。,百度,50,24/11/10-19:37:09
王栎鑫吴雅婷合体澄清争议,近日，一段王栎鑫邀请前妻吴雅婷的谣言澄清视频释出。二人针对吴雅婷推掉王栎鑫40部戏、王栎鑫每个月给7位数赡养费等做出澄清。,百度,51,24/11/10-19:37:09
